NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
27109|11|Bogotá, D.C.|11001|Bogotá, D.C.|2930|Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores|Metalmecánica y Otras Industrias|Bienes tecnología media-alta|6455763000,0|6305980000,0|Pequeña|No|No es sucursal de sociedad extranjera|29,19917864476386|No Mineras|Metalmecánica y Otras Industrias|Autopartes|Otras Autopartes|9401200000|Asientos (excepto los de la partida 94.02) del tipo de los utilizados en vehículos automóviles.|11|Bogotá, D.C.|Si|73506,5|159761,606|2350,2166666666667|-24,88748780605293|No Constante|Metalmecánica y Otras Industrias
27129|15|Boyacá|15104|Boyacá|4520|Mantenimiento y reparación de vehículos automotores|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|10000000,0|100,0|Micro|No|No es sucursal de sociedad extranjera|1,6125941136208075|No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703231090|Camperos (4 x 4), para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 1.500 cm3 pero inferior o igual a 3.000 cm3.|66|Risaralda|No|0,0|2327,386|-100,0||No Constante|Metalmecánica y Otras Industrias
27141|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703321000|Camperos con tracción en las cuatro ruedas, con motor de émbolo (pistón), de encendido por compresión (Diesel o semi-Diesel), de cilindrada superior a 1.500 cm3 pero inferior o igual a 2.500 cm3|11|Bogotá, D.C.|No|0,0|3400,0|-100,0||No Constante|Metalmecánica y Otras Industrias
27152|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Industrias 4.0|Bpo|Bpo|Bpo|Bpo|05|Antioquia|Si|0,0|2000,0|||No Constante|Industrias 4.0
27159|5|Antioquia|5360|Itagüí|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|40819272000,0|62197082000,0|Mediana|No|No es sucursal de sociedad extranjera|28,098562628336754|No Mineras|Agroalimentos|Otros agrícola|Especias|0908110000|Nuez moscada sin triturar ni pulverizar|11|Bogotá, D.C.|No|0,0|7290,0||-100,0|Futuros|Agroalimentos
27160|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Ropa interior y pijamas|6212100000|Sostenes (corpiños), incluso de punto.|05|Antioquia|Si|0,0|0,0|||Futuros|Sistema Moda
27179|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Manufacturas de cuero|4202919000|Los demás artículos similares a los mencionados anteriormente en este capítulo, con la superficie exterior de cuero natural, de cuero regenerado o de cuero charolado.|11|Bogotá, D.C.|No|0,0|35681,778000000006||-100,0|No Constante|Sistema Moda
27191|5|Antioquia|5001|Medellín|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja|1016828343,0|919340948,0|Micro|No|No es sucursal de sociedad extranjera|13,059548254620124|No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Manufacturas de cuero|4205009000|Las demás manufacturas de cuero natural o cuero regenerado.|05|Antioquia|Si|14967,8|4687,56|||No Constante|Sistema Moda
27195|25|Cundinamarca|25817|Tocancipá|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|26267239000,0|37300835000,0|Mediana|No|No es sucursal de sociedad extranjera|19,457905544147845|No Mineras|Metalmecánica y Otras Industrias|Autopartes|Motores y sus partes|8421230000|Aparatos para filtrar lubricantes o carburantes en los motores de encendido por chispa o por compresión.|25|Cundinamarca|Si|663221,99|402582,74|41,91180965601242|26,11954505604717|Pymex|Metalmecánica y Otras Industrias
27227|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Subproductos de origen animal (otros)|0510001000|Bilis, incluso desecada; glándulas y demás sustancias de origen animal, utilizadas para la preparación de productos farmacéuticos|70|Sucre|No|0,0|68283,8|-100,0||No Constante|Agroalimentos
