NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
5242|5|Antioquia|5266|Envigado|4111|Construcción de edificios residenciales|Metalmecánica y Otras Industrias|Servicios no clasificados|202151757000,0|122309257000,0|Grande|No|No es sucursal de sociedad extranjera|19,59753593429158|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
5269|20|Cesar|20001|Valledupar|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|29495007058,0|38568418117,0|Grande|No determinado|No determinado||No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
5316|11|Bogotá, D.C.|11001|Bogotá, D.C.|4111|Construcción de edificios residenciales|Metalmecánica y Otras Industrias|Servicios no clasificados|44386979000,0|29102421000,0|Mediana|No|No es sucursal de sociedad extranjera|30,034223134839152|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
5435|68|Santander|68276|Floridablanca|141|Cría de ganado bovino y bufalino|Agroalimentos|Bienes primarios|139049858000,0|26172815000,0|Mediana|No|No es sucursal de sociedad extranjera|30,48323066392881|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|68|Santander|No|0,0|14450,144|-100,0||No Constante|Agroalimentos
5436|11|Bogotá, D.C.|11001|Bogotá, D.C.|6910|Actividades jurídicas|Industrias 4.0|Servicios de mercado intensivos en conocimiento|9982790000,0|16478230000,0|Mediana|No|No es sucursal de sociedad extranjera|3,2032854209445585|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
5543|66|Risaralda|66001|Pereira|2711|Fabricación de motores, generadores y transformadores eléctricos|Metalmecánica y Otras Industrias|Bienes tecnología media-alta|192387004000,0|176560862000,0|Grande|No|No es sucursal de sociedad extranjera|26,84188911704312|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Aparatos eléctricos|8504219000|Los demás transformadores de dieléctrico líquido, de potencia inferior o igual a 650 kva.|66|Risaralda|Si|31028603,46|13956177,836|54,77564739526591|467,77797629071785|Top|Metalmecánica y Otras Industrias
5565|5|Antioquia|5360|Itagüí|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|73272555000,0|36474921000,0|Mediana|No|No es sucursal de sociedad extranjera|30,2340862422998|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - hogar|9403200000|Los demás muebles de metal.|05|Antioquia|Si|1037932,7|454919,18|141,36442435817025|32,10422888463944|Pymex|Metalmecánica y Otras Industrias
5614|25|Cundinamarca|25799|Tenjo|0130|Propagación de plantas (actividades de los viveros, excepto viveros forestales)|Agroalimentos|Bienes primarios|28517452000,0|23258237000,0|Mediana|No|No es sucursal de sociedad extranjera|21,26488706365503|No Mineras|Agroalimentos|Flores y plantas vivas|Plantas vivas|0602109000|Los demás esquejes sin enraizar e injertos.|25|Cundinamarca|Si|4800828,11|4555831,7020000005|-6,711237414052973|4,704917618010573|Pymex|Agroalimentos
5650|11|Bogotá, D.C.|11001|Bogotá, D.C.|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|11803972775,0|15567338068,0|Mediana|No|No es sucursal de sociedad extranjera|14,817248459958932|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
5814|11|Bogotá, D.C.|11001|Bogotá, D.C.|1081|Elaboración de productos de panadería|Agroalimentos|Bienes tecnología baja|16491200000,0|22253412000,0|Mediana|No|No es sucursal de sociedad extranjera|29,505817932922657|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
